term,tf
식인종,6
거북이,6
네이버,6
매직,6
스태미나,6
행적,6
파편,6
고자,6
부적,6
누나,6
데이트,6
휴대폰,6
밸리,6
문의,6
토막,6
보임,6
욕심,6
감시,6
귀여움,6
아바타,6
이상이,6
만남,6
추적,6
삼촌,6
분야,6
자야,6
로어,6
수요,6
정령,6
골프공,6
업체,6
신파극,6
밝기,6
소용,6
방구석,6
테슬라,6
시계,6
기억력,6
저스트,6
리플레이,6
최저,6
자식들,6
기체,6
채굴,6
적성,6
반란,6
예비,6
주거,6
추정,6
관통,6
하락,6
개별,6
전통,6
편집,6
바위,6
라도,6
소가,6
격리,6
공익,6
출신,6
슈트,6
괴수,6
자재,6
동화책,6
노블,6
예외,6
측정,6
핀볼,6
재미나,6
큐레이터,6
창출,6
채찍,6
보일,6
아주,6
디스토피아,6
영향력,6
오마주,6
주류,6
지원이,6
스타크래프트,6
매니저,6
바구니,6
손목,6
세트,6
중력,6
연출력,6
저혈압,6
심심풀이,6
중고,6
트위터,6
매입,6
구매자,6
엔딩크레딧,6
다구리,6
몸통,6
전열,6
은신,6
